session_id,user_id,date_utc,timezone,preset_name,dimension_tag,base_frequency_hz,beat_frequency_hz,light_frequency_hz,duration_seconds,headphones_used,room_dark,pre_mood_score,post_mood_score,notes_text,device_model,firmware_version,recording_path,session_hash
session-001,user-abc123,2025-08-10T14:30:00Z,UTC,Foco 3D,3D,528,40,10,1200,yes,no,6,8,"Me senti mais concentrado e produtivo",iPhone 13,1.0.0,,hash_session-001
session-002,user-abc123,2025-08-10T19:15:00Z,UTC,Relaxamento 3D,3D,432,8,4,1800,yes,yes,7,9,"Relaxamento profundo, muito bom para o final do dia",iPhone 13,1.0.0,,hash_session-002
session-003,user-def456,2025-08-10T08:00:00Z,UTC,Energia 3D,3D,741,35,12,900,no,no,5,7,"Boa energia para começar o dia",Samsung Galaxy S23,1.0.0,,hash_session-003
session-004,user-abc123,2025-08-09T21:30:00Z,UTC,Meditação 4D,4D,285,6,3,2700,yes,yes,6,9,"Experiência transcendental, senti conexão profunda",iPhone 13,1.0.0,,hash_session-004
session-005,user-ghi789,2025-08-09T16:45:00Z,UTC,Sonho Lúcido 4D,4D,963,4,2,3600,yes,yes,8,8,"Preparação para sonho lúcido, funcionou bem",Pixel 7,1.0.0,,hash_session-005
session-006,user-def456,2025-08-09T12:00:00Z,UTC,Amor Incondicional 5D,5D,144,7.83,1,2400,yes,no,5,9,"Senti muito amor e compaixão, experiência transformadora",Samsung Galaxy S23,1.0.0,,hash_session-006
session-007,user-abc123,2025-08-08T15:20:00Z,UTC,Cura Espiritual 5D,5D,741,10,5,2100,yes,no,4,7,"Sensação de cura e renovação energética",iPhone 13,1.0.0,,hash_session-007
session-008,user-ghi789,2025-08-08T10:30:00Z,UTC,Minha Frequência Especial,Personalizado,440,20,8,1500,yes,no,6,8,"Preset personalizado funcionou muito bem",Pixel 7,1.0.0,,hash_session-008
session-009,user-def456,2025-08-07T22:00:00Z,UTC,Relaxamento Noturno,Personalizado,256,2,1,2700,yes,yes,7,9,"Perfeito para dormir, muito relaxante",Samsung Galaxy S23,1.0.0,,hash_session-009
session-010,user-abc123,2025-08-07T14:15:00Z,UTC,Projeção Astral 4D,4D,396,7.83,1.5,3000,yes,yes,6,8,"Interessante, senti algumas sensações diferentes",iPhone 13,1.0.0,,hash_session-010
session-011,user-ghi789,2025-08-07T09:45:00Z,UTC,Criatividade Flow,Personalizado,528,12,6,1800,no,no,5,8,"Ótimo para trabalho criativo, me senti inspirado",Pixel 7,1.0.0,,hash_session-011
session-012,user-def456,2025-08-06T18:30:00Z,UTC,Unidade Cósmica 5D,5D,852,3.5,0.5,3300,yes,yes,7,10,"Experiência mística profunda, conexão universal",Samsung Galaxy S23,1.0.0,,hash_session-012
session-013,user-abc123,2025-08-06T11:00:00Z,UTC,Foco 3D,3D,528,40,10,1200,yes,no,5,7,"Segunda sessão de foco, melhorando a concentração",iPhone 13,1.0.0,,hash_session-013
session-014,user-ghi789,2025-08-05T20:15:00Z,UTC,Meditação 4D,4D,285,6,3,2700,yes,yes,6,9,"Meditação profunda, mente muito calma",Pixel 7,1.0.0,,hash_session-014
session-015,user-def456,2025-08-05T13:45:00Z,UTC,Energia 3D,3D,741,35,12,900,no,no,4,6,"Energia moderada, talvez precise de mais tempo",Samsung Galaxy S23,1.0.0,,hash_session-015
session-016,user-abc123,2025-08-04T16:30:00Z,UTC,Cura Espiritual 5D,5D,741,10,5,2100,yes,no,6,8,"Sensação de limpeza energética",iPhone 13,1.0.0,,hash_session-016
session-017,user-ghi789,2025-08-04T08:15:00Z,UTC,Foco 3D,3D,528,40,10,1200,yes,no,7,8,"Foco matinal, bom para começar o trabalho",Pixel 7,1.0.0,,hash_session-017
session-018,user-def456,2025-08-03T21:45:00Z,UTC,Sonho Lúcido 4D,4D,963,4,2,3600,yes,yes,8,9,"Preparação noturna, sonhos mais vívidos",Samsung Galaxy S23,1.0.0,,hash_session-018
session-019,user-abc123,2025-08-03T12:30:00Z,UTC,Amor Incondicional 5D,5D,144,7.83,1,2400,yes,no,5,9,"Coração aberto, muito amor próprio",iPhone 13,1.0.0,,hash_session-019
session-020,user-ghi789,2025-08-02T17:00:00Z,UTC,Relaxamento 3D,3D,432,8,4,1800,yes,no,6,8,"Relaxamento após trabalho, muito eficaz",Pixel 7,1.0.0,,hash_session-020

